,xk,wk,uk,xkp1,wkp1,fL_k,fU_k,gL_k,gU_k,fBL_k,fBU_k
0,[3.75778081],[4.93357904],[-12.53965955],[3.85645239],[4.00334463],[4.18912886],[7.12226256],[0.01632653],[0.048],[2.70112886],[5.67712886]
1,[2.59317319],[3.61360286],[9.12617424],[2.66544524],[3.28738016],[3.07304531],[5.20284206],[0.01632653],[0.048],[1.58504531],[4.56104531]
2,[2.14712033],[3.83877099],[8.68353401],[2.22389574],[3.39108136],[3.1868942],[5.75528875],[0.01632653],[0.048],[1.6988942],[4.6748942]
3,[1.90747519],[2.47808564],[-24.0832175],[1.95703691],[1.60339724],[2.10491249],[3.5752147],[0.01632653],[0.048],[0.61691249],[3.59291249]
4,[-3.94822881],[2.06529883],[0.84580084],[-3.90692283],[1.80980895],[1.7942048],[2.8623153],[0.01632653],[0.048],[0.3062048],[3.2822048]
5,[-2.57158316],[3.2766136],[-4.64872804],[-2.50605089],[2.93692942],[2.99493284],[4.10475503],[0.01632653],[0.048],[1.50693284],[4.48293284]
6,[-1.79004924],[2.86563907],[12.96038111],[-1.73273646],[3.05615698],[2.74456839],[3.2215869],[0.01632653],[0.048],[1.25656839],[4.23256839]
7,[3.57216655],[-2.90620531],[10.46267581],[3.51404244],[-2.33882077],[-3.1294954],[-2.24973245],[0.01632653],[0.048],[-4.6174954],[-1.6414954]
8,[-2.07183162],[2.05609718],[-4.82152823],[-2.03070968],[1.9844645],[2.05577387],[2.05704774],[0.01632653],[0.048],[0.56777387],[3.54377387]
9,[-4.00635011],[-3.83733612],[6.40355699],[-4.08309683],[-3.375982],[-4.47576749],[-1.96034789],[0.01632653],[0.048],[-5.96376749],[-2.98776749]
10,[-4.19654441],[-0.05091421],[-25.10602277],[-4.19756269],[-0.73520774],[-0.19990128],[0.38710777],[0.01632653],[0.048],[-1.68790128],[1.28809872]
11,[-4.64433854],[-4.20906425],[-1.26760583],[-4.72851983],[-3.85778039],[-4.99055736],[-1.91147452],[0.01632653],[0.048],[-6.47855736],[-3.50255736]
12,[3.11115254],[1.3533653],[-14.61885516],[3.13821985],[0.98273893],[1.28275103],[1.56097127],[0.01632653],[0.048],[-0.20524897],[2.77075103]
13,[-1.91550751],[-0.57257024],[7.94477091],[-1.92695891],[-0.21941755],[-0.42758774],[-0.9988188],[0.01632653],[0.048],[-1.91558774],[1.06041226]
14,[1.76234945],[-1.38423867],[29.32611296],[1.73466468],[-0.89679134],[-1.61807143],[-0.69677033],[0.01632653],[0.048],[-3.10607143],[-0.13007143]
15,[3.2931925],[3.29444829],[-20.23992362],[3.35908146],[2.5533825],[2.94323732],[4.32700853],[0.01632653],[0.048],[1.45523732],[4.43123732]
16,[1.26131137],[-3.63563047],[-3.34877158],[1.18859876],[-3.4634416],[-4.2543509],[-1.8165924],[0.01632653],[0.048],[-5.7423509],[-2.7663509]
17,[1.36740261],[-1.20922405],[17.91022758],[1.34321813],[-0.97425317],[-1.42700991],[-0.56893363],[0.01632653],[0.048],[-2.91500991],[0.06099009]
18,[1.54470167],[-2.7498741],[23.63005955],[1.48970418],[-2.20486252],[-3.18145961],[-1.48101269],[0.01632653],[0.048],[-4.66945961],[-1.69345961]
19,[2.26803523],[1.29822673],[15.8342822],[2.29399976],[1.42855041],[1.10859799],[1.85573523],[0.01632653],[0.048],[-0.37940201],[2.59659799]
20,[-0.112998],[-1.67983024],[-10.81099688],[-0.1465946],[-1.79602354],[-1.76046894],[-1.44275244],[0.01632653],[0.048],[-3.24846894],[-0.27246894]
21,[-3.3105855],[-3.01375851],[-28.56362072],[-3.37086067],[-3.34771433],[-3.35768861],[-2.00260402],[0.01632653],[0.048],[-4.84568861],[-1.86968861]
22,[3.33243576],[-3.79858548],[7.47012164],[3.25646405],[-3.14529884],[-4.2666171],[-2.4225725],[0.01632653],[0.048],[-5.7546171],[-2.7786171]
23,[0.51939828],[-3.26019664],[-20.82339772],[0.45419435],[-3.44984462],[-3.71275642],[-1.92967091],[0.01632653],[0.048],[-5.20075642],[-2.22475642]
24,[-2.64469614],[3.01069329],[-21.13170787],[-2.58448228],[2.36947517],[2.77607318],[3.70047641],[0.01632653],[0.048],[1.28807318],[4.26407318]
25,[1.46868189],[1.74966253],[6.6455373],[1.50367514],[1.603921],[1.47412574],[2.55974068],[0.01632653],[0.048],[-0.01387426],[2.96212574]
26,[-0.73488773],[2.29463433],[14.74683836],[-0.68899504],[2.56119775],[2.22370343],[2.50317118],[0.01632653],[0.048],[0.73570343],[3.71170343]
27,[1.71914641],[3.25110577],[-16.55261312],[1.78416852],[2.3838866],[2.71756768],[4.81970775],[0.01632653],[0.048],[1.22956768],[4.20556768]
28,[2.62843762],[4.61736445],[1.54353733],[2.72078491],[3.87570116],[3.79696582],[7.02933641],[0.01632653],[0.048],[2.30896582],[5.28496582]
29,[4.17548242],[-3.64541768],[-1.32750684],[4.10257406],[-3.08698502],[-3.96128426],[-2.71676994],[0.01632653],[0.048],[-5.44928426],[-2.47328426]
30,[1.84733401],[-1.55927734],[16.42228517],[1.81614846],[-1.31997554],[-1.80756083],[-0.8293239],[0.01632653],[0.048],[-3.29556083],[-0.31956083]
31,[3.0935327],[-4.89925106],[-2.7994827],[2.99554768],[-4.19903877],[-5.73754385],[-2.43467026],[0.01632653],[0.048],[-7.22554385],[-4.24954385]
32,[0.71019433],[4.64383325],[-16.07352353],[0.80307099],[3.50150926],[3.78783994],[7.16045355],[0.01632653],[0.048],[2.29983994],[5.27583994]
33,[1.91240173],[0.25346518],[13.29461494],[1.91747104],[0.35040913],[0.09016104],[0.73357937],[0.01632653],[0.048],[-1.39783896],[1.57816104]
34,[0.52896924],[0.16395373],[-20.44515084],[0.53224831],[-0.35489221],[0.07567584],[0.42349072],[0.01632653],[0.048],[-1.41232416],[1.56367584]
35,[-2.42054817],[0.88141554],[-19.52677254],[-2.40291986],[0.57248014],[0.96355633],[0.63992163],[0.01632653],[0.048],[-0.52444367],[2.45155633]
36,[-2.30233312],[-0.9223728],[2.25008966],[-2.32078058],[-0.70721028],[-0.8286285],[-1.19798105],[0.01632653],[0.048],[-2.3166285],[0.6593715]
37,[-4.3658045],[-3.42626233],[5.1661625],[-4.43432974],[-3.12026635],[-3.99197186],[-1.76307633],[0.01632653],[0.048],[-5.47997186],[-2.50397186]
38,[-2.2836369],[-0.42149029],[-17.96820253],[-2.2920667],[-0.64613784],[-0.3024466],[-0.77147871],[0.01632653],[0.048],[-1.7904466],[1.1855534]
39,[-2.14376276],[4.47099092],[8.43400117],[-2.05434294],[4.16566823],[3.92080645],[6.08853323],[0.01632653],[0.048],[2.43280645],[5.40880645]
40,[2.86573446],[-1.15610759],[-17.61387388],[2.84261231],[-1.5287683],[-1.25041807],[-0.87883479],[0.01632653],[0.048],[-2.73841807],[0.23758193]
41,[-0.35520634],[4.23772452],[2.5317961],[-0.27045185],[3.78547952],[3.67461228],[5.89327452],[0.01632653],[0.048],[2.18661228],[5.16261228]
42,[-4.14191532],[2.96266009],[-16.93652768],[-4.08266212],[2.17129969],[2.51577628],[4.2764985],[0.01632653],[0.048],[1.02777628],[4.00377628]
43,[3.74197626],[-3.58574134],[-4.91472932],[3.67026143],[-3.17017598],[-3.93632368],[-2.55502926],[0.01632653],[0.048],[-5.42432368],[-2.44832368]
44,[0.73262519],[-2.63356516],[9.67403317],[0.67995389],[-2.33850134],[-2.98780354],[-1.5921043],[0.01632653],[0.048],[-4.47580354],[-1.49980354]
45,[2.66208976],[1.51006249],[7.50908411],[2.69229101],[1.50491661],[1.35135894],[1.9766509],[0.01632653],[0.048],[-0.13664106],[2.83935894]
46,[-1.86448109],[0.96682524],[11.24463202],[-1.84514459],[1.34989099],[1.09357242],[0.59418854],[0.01632653],[0.048],[-0.39442758],[2.58157242]
47,[1.19205419],[1.2287299],[-25.00214444],[1.21662879],[0.48697697],[1.01777272],[1.84894401],[0.01632653],[0.048],[-0.47022728],[2.50577272]
48,[-1.46938066],[0.30209974],[-12.71008471],[-1.46333866],[0.22167956],[0.46428928],[-0.17473752],[0.01632653],[0.048],[-1.02371072],[1.95228928]
49,[1.90600526],[-1.42342168],[-5.44872544],[1.87753683],[-1.64861236],[-1.65475187],[-0.7433109],[0.01632653],[0.048],[-3.14275187],[-0.16675187]
50,[-2.86836163],[-2.7250008],[-6.35575197],[-2.92286164],[-2.56760443],[-2.93795985],[-2.0989012],[0.01632653],[0.048],[-4.42595985],[-1.44995985]
51,[-2.66038913],[-2.17288355],[-13.80639129],[-2.7038468],[-2.22066064],[-2.260047],[-1.91662301],[0.01632653],[0.048],[-3.748047],[-0.772047]
52,[1.64531114],[0.48739334],[-10.48097597],[1.65505901],[0.07446494],[0.3088421],[1.01233398],[0.01632653],[0.048],[-1.1791579],[1.7968421]
53,[2.71379919],[0.54573254],[-26.35566053],[2.72471384],[-0.09210945],[0.46323858],[0.78826478],[0.01632653],[0.048],[-1.02476142],[1.95123858]
54,[2.31720108],[-4.97760202],[-29.47493457],[2.21764904],[-4.93720904],[-5.95820291],[-2.09463541],[0.01632653],[0.048],[-7.44620291],[-4.47020291]
55,[2.48166322],[-1.02980058],[23.21684156],[2.46106721],[-0.62612137],[-1.17199898],[-0.6117373],[0.01632653],[0.048],[-2.65999898],[0.31600102]
56,[3.96299457],[-0.98925668],[-4.44705496],[3.94320943],[-0.91158136],[-0.90195247],[-1.24593105],[0.01632653],[0.048],[-2.38995247],[0.58604753]
57,[4.24454033],[2.19768874],[4.94103263],[4.2884941],[2.3129373],[2.17919558],[2.25205862],[0.01632653],[0.048],[0.69119558],[3.66719558]
